subject,category,type,question,options,answer,explanation
英語,2020年,selection,Whose pencils are ()?,"yours,that,those,them",yours,分野: 代名詞
英語,2020年,selection,Can Mt.Fuji () from your classroom?,"be seen,see,seen,be seeing",be seen,分野: 受動態
英語,2020年,selection,Mr.Suzuki () us to bring lunch this week.,"told,said,spoke,talked",told,分野: 動詞
英語,2020年,selection,This is a camera () is popular in Japan.,"which,what,it,who",which,分野: 関係代名詞
英語,2019年,selection,One of the birds I bought yesterday () singing now.,"is,was,are,were",is,分野: be動詞選択
英語,2019年,selection,When did the cat become as ()?,"big as its mother,the big cat,bigger than its mother,the biggest of the three",big as its mother,分野: 比較
英語,2019年,selection,"When Takuya was ten years old, he () a book written by a famous soccer player.","read,reads,is read,has read",read,分野: 接続詞when
英語,2019年,selection,The city is visited by many people () a famous festival in February.,"during,when,which,between",during,分野: 前置詞
英語,2018年,selection,That house with large windows () built ten years ago.,"was,lives,is,were",was,分野: 受動態
英語,2018年,selection,Yoshio has two brothers and he is the () of the three.,"youngest,younger than,young,as young",youngest,分野: 比較
英語,2018年,selection,My grandfather sent me a shirt () in India.,"made,make,was made,making",made,分野: 過去分詞
英語,2018年,selection,We can get new ideas by () with a lot of people.,"talking,talked,have talked,to talk",talking,分野: 動名詞
英語,2017年,selection,Mr. Fuji is () of all the mountains in Japan.,"the highest,high,as high as,higher",the highest,分野: 比較
英語,2017年,selection,() English a language spoken in Australia?,"Is,Has,Does,Are",Is,分野: 受動態
英語,2017年,selection,I went shopping because it stopped ().,"raining,rains,rained,rainy",raining,分野: 動名詞
英語,2017年,selection,I () my homework last night.,"finished,finish,am finishing,have finished",finished,分野: 時制
英語,2016年,selection,How () do you drink green tea in a day?,"often,high,many,far",often,分野: 疑問詞 How＋
英語,2016年,selection,One of my friends () in Australia.,"live,lives,are living,have lived",live,分野: one of
英語,2016年,selection,Yesterday's baseball game was very ().,"exciting,crying,interested,tired",exciting,分野: 形容詞
英語,2016年,selection,The food that you bought yesterday () in a week.,"should be eaten,should eat,has to eat,has eaten",should be eaten,分野: 助動詞　受動態
英語,2015年,selection,"""() pencil is this?"" <br> ""It's mine.""","Whose,Who,When,Where",Whose,分野: 疑問詞
英語,2015年,selection,() the students work very hard yesterday?,"Did,Has,Can,Are",Did,分野: 疑問文
英語,2015年,selection,I couldn't answer the question () by the teacher.,"asked,ask,asking,will ask",asked,分野: 過去分詞
英語,2015年,selection,I am glad () that my friend is doing well in her new school.,"to hear,which hears,hear about,can hear",to hear,分野: 熟語
英語,2014年,selection,Have you ever () her before.,"saw,see,seen,seeing",saw,分野: 現在完了
英語,2014年,selection,Will you tell me how () to the station?,"to get,get you,getting,can get",to get,分野: 疑問詞＋不定詞
